TimeTreatColocRelationship,Time,Treatment,ColocRelationship,Percentage
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,38.46
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,36.73
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,50.88
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,47.73
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,100.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,85.71
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,80.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,88.24
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,85.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,87.5
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,92.31
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,93.33
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,50.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,100.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,44.44
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,40.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,18.37
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,50.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,50.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,29.41
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,33.33
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,58.62
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,66.67
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,30.91
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,100.0
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,15.52
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,26.09
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,48.15
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,42.86
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,80.39
24H iKU1 2uM H2A.X to RPA32,24,iKU1_2uM,H2A.X to RPA32,25.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,68.42
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,68.42
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,88.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,51.28
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,36.71
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,10.42
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,22.64
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,39.39
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,27.12
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,34.69
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,38.89
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,22.41
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,20.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,25.49
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,76.19
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,24.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,100.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,16.67
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,20.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,84.62
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,50.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,66.67
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,10.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,76.47
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,7.69
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,66.67
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,85.0
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,25.58
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,4.35
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,58.62
24H iKU1 2uM RPA32 to H2A.X,24,iKU1_2uM,RPA32 to H2A.X,14.29
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,88.89
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,25.0
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,55.56
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,4.76
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,19.61
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,33.33
48H iKU1 2uM H2A.X to RPA32,48,iKU1_2uM,H2A.X to RPA32,28.57
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,23.33
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,50.0
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,46.15
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,100.0
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,50.0
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,23.81
48H iKU1 2uM RPA32 to H2A.X,48,iKU1_2uM,RPA32 to H2A.X,28.57
