TimeTreatColocRelationship,Time,Treatment,ColocRelationship,Percentage,Labels
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,38.46,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,36.73,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,50.88,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,47.73,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,56.94,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,45.39,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,35.89,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,27.49,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,50.88,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,54.38,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,36.31,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,53.98,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,50,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,45.65,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,44.44,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,40,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,34.88,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,50,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,50,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,57.41,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,33.33,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,58.62,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,38.67,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,30.91,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,45.77,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,25.9,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,26.09,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,48.15,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,42.86,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,56.39,24H Xchem 4uM
24H Xchem 4uM M1 to M2,24,Xchem 4uM,M1 to M2,45.78,24H Xchem 4uM
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,45.42,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,48.42,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,61.9,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,51.28,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,74.71,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,45.42,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,66.64,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,58.39,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,45.12,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,39.69,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,38.89,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,52.41,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,37.9,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,38.49,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,76.19,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,63.87,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,55.45,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,46.7,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,20,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,72.94,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,50,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,47.98,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,53.11,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,66.47,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,72.69,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,66.67,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,63.21,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,58.45,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,44.35,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,58.62,24H Xchem 4uM 
24H Xchem 4uM M2 to M1,24,Xchem 4uM,M2 to M1,43.29,24H Xchem 4uM 
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,33.39,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,27.44,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,45.57,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,33.89,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,32.61,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,22.93,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,19.04,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,30.92,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,32.11,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,40.43,48H Xchem 1uM
48H Xchem 1uM M1 to M2,48,Xchem 1uM,M1 to M2,45.39,48H Xchem 1uM
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,38.44,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,35.43,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,45.1,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,28.44,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,27.54,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,51.22,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,30.92,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,32.11,48H Xchem 1uM 
48H Xchem 1uM M2 to M1,48,Xchem 1uM,M2 to M1,40.43,48H Xchem 1uM 
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,45.89,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,88.44,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,55.56,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,74.76,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,57.61,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,44.33,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,56.57,48H Xchem 4uM
48H Xchem 4uM M1 to M2,48,Xchem 4uM,M1 to M2,45.89,48H Xchem 4uM
